,TCGA-AA-A01Z-01A-11R-A083-07,TCGA-CK-5913-01A-11R-1653-07
ENSG00000000003.13,32.4258332959,12.6453071483
ENSG00000000005.5,0.0,0.797882955385
ENSG00000000419.11,24.8404071797,30.7054060511
ENSG00000000457.12,1.21488535451,2.10866879362
ENSG00000000460.15,1.10635546758,1.7351138761
ENSG00000000938.11,0.253372599311,2.43939829656
ENSG00000000971.14,0.499815947978,2.1020867329
ENSG00000001036.12,33.6620534529,35.8610080632
ENSG00000001084.9,5.38239385771,5.81782883065
ENSG00000001167.13,6.27942368068,13.2817480959
ENSG00000001460.16,0.963108367781,1.88328456875
ENSG00000001461.15,5.95531359918,5.55576857738
ENSG00000001497.15,19.9225936421,8.04792942285
ENSG00000001561.6,2.55491755216,7.44907031906
ENSG00000001617.10,9.91748182638,3.06307281872
ENSG00000001626.13,26.4119180794,23.3173676519
ENSG00000001629.8,4.09708023942,6.65273809406
ENSG00000001630.14,3.61895553942,4.8238423022
ENSG00000001631.13,2.85531193607,4.04227835216
ENSG00000002016.15,1.44426916916,2.85078381627
ENSG00000002079.11,0.0,0.0241701964461
ENSG00000002330.12,23.6094345922,10.1253240717
ENSG00000002549.11,27.0925262261,39.4300387973
ENSG00000002586.16,11.7598949419,73.0722814463
ENSG00000002587.8,1.30022170533,2.19529301854
ENSG00000002726.18,38.0663673653,45.9019067127
ENSG00000002745.11,0.0,0.00587948737531
ENSG00000002746.13,0.0748483341842,0.107088768336
ENSG00000002822.14,6.3383494946,3.69405264245
ENSG00000002834.16,23.0696855087,70.832331868
ENSG00000002919.13,2.36469674763,5.22658546569
ENSG00000002933.6,67.7113873895,19.7957591045
ENSG00000003056.6,17.4639177191,33.7164737447
ENSG00000003096.12,1.53625053658,0.400867709625
ENSG00000003137.7,0.219395914757,0.527592253173
ENSG00000003147.16,13.5537310118,11.2780096029
ENSG00000003249.12,9.32393713376,7.33544651859
ENSG00000003393.13,1.10726375729,2.38924044493
ENSG00000003400.13,2.43281713742,11.7894570837
ENSG00000003402.18,2.29050055647,3.29095935086
ENSG00000003436.13,0.356925725417,0.672708419327
ENSG00000003509.14,2.3204828667,3.01432670007
ENSG00000003756.15,5.12568149635,4.52880954884
ENSG00000003987.12,0.0676554250488,0.171789076753
ENSG00000003989.15,0.661136614094,2.43755513884
ENSG00000004059.9,157.336919092,31.0190786839
ENSG00000004139.12,0.202528019273,0.476871985962
ENSG00000004142.10,55.9991522043,60.972155206
ENSG00000004399.11,4.88105218118,9.28329577739
ENSG00000004455.15,21.2292459634,30.3447088373
ENSG00000004468.11,0.152480960887,0.237739709428
ENSG00000004478.7,46.8783208708,92.1599873419
ENSG00000004487.14,26.8235221541,26.5211916526
ENSG00000004534.13,7.84293072803,4.97836535133
ENSG00000004660.13,2.63063060305,3.40899393815
ENSG00000004700.14,1.84931650461,5.59762524854
ENSG00000004766.14,1.04743332056,2.00775103105
ENSG00000004776.10,2.71553407559,0.300622081843
ENSG00000004777.17,2.83434704268,0.710786430518
ENSG00000004779.8,70.3485458935,47.5011281398
ENSG00000004799.7,0.401736301314,1.68437360198
ENSG00000004809.12,0.0,0.00490734792191
ENSG00000004838.12,0.109780046147,0.13869225283
ENSG00000004846.15,0.0237716433512,0.00414238054033
ENSG00000004848.6,0.0,0.126664519571
ENSG00000004864.12,6.89522625763,8.66661319971
ENSG00000004866.17,4.74085707333,4.14059628149
ENSG00000004897.10,2.59589027717,11.4183918313
ENSG00000004939.12,0.0520271662809,0.00725288758498
ENSG00000004948.12,0.0,0.00474344590077
ENSG00000004961.13,25.6808320907,13.6961789704
ENSG00000004975.10,5.85097123007,5.91317079364
ENSG00000005001.8,6.6836708971,25.1731077122
ENSG00000005007.11,22.8881854288,20.3345359286
ENSG00000005020.11,6.15912297763,1.51438978846
ENSG00000005022.5,804.591150114,372.493205853
ENSG00000005059.14,2.22152206676,4.68840809438
ENSG00000005073.5,13.3062623749,5.79262540383
ENSG00000005075.14,31.221698307,19.5975029803
ENSG00000005100.11,5.33084061323,6.94172610891
ENSG00000005102.11,0.121936148412,0.566620120603
ENSG00000005108.14,0.0251685998835,0.138591605649
ENSG00000005156.10,3.21930686375,2.68472575823
ENSG00000005175.8,2.89329636722,6.07151202302
ENSG00000005187.10,2.42644673239,2.79922980234
ENSG00000005189.18,0.695358126524,1.83154892417
ENSG00000005194.13,22.9053180219,14.4357617584
ENSG00000005206.15,19.034834182,4.27829680988
ENSG00000005238.18,4.4807396437,3.49715193304
ENSG00000005243.8,1.63465365175,2.72420377689
ENSG00000005249.11,0.420436856331,5.75012639845
ENSG00000005302.16,4.64091934155,4.01110195839
ENSG00000005339.11,9.38676495772,7.71221154059
ENSG00000005379.14,0.353706832011,0.185752238541
ENSG00000005381.7,0.0156022477667,0.0163128261465
ENSG00000005421.7,0.0,0.142172731267
ENSG00000005436.12,2.44616408545,2.75403687827
ENSG00000005448.15,6.79013096006,3.66700543951
ENSG00000005469.10,1.54687559501,0.31961431843
ENSG00000005471.14,0.0954331242501,0.0716365403343
ENSG00000005483.18,4.75477022085,11.3235583698
