Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	1	3301765	247650984	129958	0.0159
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	2	480597	241537572	132277	0.0101
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	3	2170634	197812401	107275	0.0155
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	4	1059384	124538250	69630	0.0153
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	4	124539196	124541780	3	-1.6847
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	4	124541870	187842528	33993	0.0174
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	5	914118	6739454	4203	0.0194
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	5	6740203	6742055	2	-1.6069
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	5	6742416	180934240	97012	0.0164
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	6	1011760	170596889	97254	0.0166
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	7	664936	158592540	82080	0.018
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	8	667625	144182542	82258	0.0169
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	9	789794	21104438	13123	0.0098
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	9	21104447	21106902	2	-1.6107
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	9	21107327	77105656	16688	0.0159
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	9	77106500	77116131	11	-0.809
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	9	77120528	138044505	38748	0.0149
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	10	366509	133411599	81434	0.0156
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	11	456012	134272740	77747	0.0146
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	12	780472	80446147	43989	0.0163
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	12	80446276	80456531	2	-2.3795
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	12	80458187	132605822	30479	0.0143
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	13	18874255	114226675	57088	0.0145
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	14	20033191	105533894	49799	0.015
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	15	23437561	101344124	44861	0.0126
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	16	603333	89317317	41282	0.0151
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	17	1074619	44382682	17613	0.0175
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	17	44382890	44386534	2	-1.4139
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	17	44388069	82959812	19742	0.0174
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	18	326691	79349796	42983	0.0134
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	19	283868	58370362	24252	0.0182
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	20	472817	63588502	37626	0.0136
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	21	13974127	46262057	20807	0.0151
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	22	16934932	48940621	17100	0.0127
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C08_777262	X	3236359	155677414	64425	0.0153
