Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	3301765	35144061	17195	0.1041
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	35145912	62004963	15799	0.0699
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	62006470	63022557	661	0.1005
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	63022596	64893513	1404	0.0386
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	64893527	84150390	11568	0.0126
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	84151467	96048558	7520	0.051
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	96049515	107061283	6135	0.001
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	107061554	110273092	1758	0.0707
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	110273530	111612005	956	0.0019
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	111612059	157974363	9295	0.0614
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	157975155	159126311	763	-0.0142
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	159128584	170352315	8140	0.0506
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	170352336	177212688	3883	0.0212
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	177215587	185038956	5199	0.0613
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	185039339	193135114	4739	-0.0244
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	193135128	194675691	1104	0.0375
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	194677712	199715415	2759	-0.0186
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	199720768	215883006	10801	0.0621
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	215884376	221834497	4115	-5e-04
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	221834684	222804641	575	0.0289
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	222807250	235169152	7780	0.0622
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	235177367	238627933	2562	0.0199
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	238628495	239629975	688	0.0871
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	239630708	244358838	3284	0.0141
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	1	244361625	247650984	1387	0.0818
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	480597	8102838	4634	0.0258
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	8103067	11782861	2501	0.0857
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	11784368	13943518	1472	0.0107
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	13944791	15110346	769	0.1031
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	15111245	18187474	2134	0.0317
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	18191389	18380707	153	-0.7223
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	18387709	41726146	13030	0.0358
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	41726445	47734006	4093	0.0708
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H10_730114	2	47735973	52747321	2583	0.0028
